"material_name","material_type","tensile_strength","weight_capacity","biodegradability_score","co2_emission_score","recyclability_percent","price_inr_per_unit","suitable_industries"
"Bamboo Composite","Natural Fiber","140","450","9","2","80","212.5","Construction, Furniture, Home Decor"
"Hemp Fiber Board","Natural Fiber","60","300","8","2","70","340","Automotive, Furniture, Packaging"
"Recycled Aluminum","Metal","300","900","1","2","95","153","Food & Beverage, Construction, Electronics"
"Cork Sheet","Natural Wood","15","120","10","1","70","272","Home Decor, Flooring, Fashion"
"PLA Bioplastic","Bioplastic","50","200","7","4","60","170","Food Packaging, Electronics, 3D Printing"
"Recycled PET","Plastic","25","250","2","5","98","76.5","Beverages, Textiles, Packaging"
"Mushroom Mycelium","Bio-Composite","0.2","20","10","1","100","425","Electronics, Cosmetics, Glassware"
"Recycled Steel","Metal","600","2000","1","3","90","51","Construction, Automotive, Heavy Machinery"
"Jute Composite","Natural Fiber","35","180","8","2","75","127.5","Textiles, Packaging, Agriculture"
"Recycled Glass","Glass","70","500","1","4","100","59.5","Food & Beverage, Cosmetics, Construction"
"Organic Cotton","Textile","0.5","30","9","1","95","323","Fashion, Textiles, Medical"
"Bagasse Fiber","Bio-Fiber","20","150","9","2","85","102","Food Packaging, Disposable Utensils"
"Wheat Straw","Bio-Fiber","18","140","8","2","80","85","Food Packaging, Paper Products"
"Corrugated Cardboard","Paper","5","50","8","1","100","34","Logistics, Retail, Electronics"
"Natural Rubber","Elastomer","25","160","7","3","90","238","Automotive, Footwear, Industrial"
"Seaweed Packaging","Edible Film","2","5","10","1","100","450","Food (Wrappers), Personal Care"
"Air Pillows (Recycled)","Plastic","15","10","2","6","90","25","Logistics, Electronics, E-commerce"
"Kraft Paper","Paper","35","15","9","2","100","40","Retail, Food, Fashion"
"Silicone (Food Grade)","Elastomer","10","80","1","5","50","300","Kitchenware, Medical, Baby Products"
"Styrofoam (EPS)","Plastic","0.4","10","1","9","10","20","Electronics, Logistics (Avoid if possible)"
